time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-04T00:55:03.150Z,42.8475,145.4291,39.96,4.6,mb,,134,1.876,0.93,us,us10005zpu,2016-07-04T23:26:07.570Z,"54km SSW of Nemuro, Japan",earthquake,9.9,8.6,0.068,65,reviewed,us,us
2016-07-04T00:13:02.000Z,-31.43,-71.67,25,4.8,mb,,,,0.86,us,us10005zpe,2016-07-04T00:50:52.749Z,"52km WNW of Illapel, Chile",earthquake,4.6,4.3,0.053,107,reviewed,guc,us
2016-07-03T23:43:23.590Z,14.3035,-92.4789,19.17,4.5,mb,,140,0.79,1.14,us,us10005zpc,2016-07-04T00:28:17.129Z,"38km SW of Ocos, Guatemala",earthquake,5.9,3.5,0.037,220,reviewed,us,us
2016-07-03T23:10:57.350Z,2.2353,95.0565,31.19,4.4,mb,,172,2.682,0.49,us,us10005zp9,2016-07-03T23:32:10.833Z,"149km W of Sinabang, Indonesia",earthquake,10.7,3.4,0.117,21,reviewed,us,us
2016-07-03T21:02:56.000Z,18.9449,-66.8259,7,2.8,Md,6,291.6,0.54527738,0.43,pr,pr16185015,2016-07-04T00:20:26.955Z,"50km N of Hatillo, Puerto Rico",earthquake,2.7,2.9,0,4,reviewed,pr,pr
2016-07-03T20:56:50.500Z,18.947,-66.8383,9,2.9,Md,8,255.6,0.54258243,0.34,pr,pr16185014,2016-07-04T00:19:06.488Z,"51km N of Hatillo, Puerto Rico",earthquake,1.6,2.7,0,5,reviewed,pr,pr
2016-07-03T17:32:16.010Z,36.1778,-96.752,8.86,3.1,mb_lg,,75,0.036,0.54,us,us10005zn0,2016-07-03T17:38:49.684Z,"8km NW of Yale, Oklahoma",earthquake,2.1,5.3,0.057,79,reviewed,us,us
2016-07-03T17:03:42.540Z,57.4729,-33.3505,10,4.5,mb,,91,8.443,0.94,us,us10005zmy,2016-07-03T17:15:31.271Z,"Reykjanes Ridge",earthquake,12.9,2,0.118,21,reviewed,us,us
2016-07-03T16:13:33.160Z,51.6157,-178.5267,28.81,5.3,mb,,35,0.886,0.69,us,us10005zmh,2016-07-03T19:04:01.789Z,"39km SW of Tanaga Volcano, Alaska",earthquake,7.3,3.2,0.022,683,reviewed,us,us
2016-07-03T15:56:44.950Z,39.4665,73.4358,10,4.5,mb,,145,1.262,1.3,us,us10005zmd,2016-07-03T17:04:55.182Z,"33km SSE of Sary-Tash, Kyrgyzstan",earthquake,6.5,1.9,0.113,24,reviewed,us,us
2016-07-03T11:42:52.340Z,34.707,32.9206,10,3.8,mb,,131,0.422,0.6,us,us10005zp0,2016-07-03T21:00:59.552Z,"3km WNW of Ypsonas, Cyprus",earthquake,3.1,2,0.508,1,reviewed,us,us
2016-07-03T11:11:03.700Z,19.1252,-64.1268,50,2.8,Md,8,324,0.84351805,0.17,pr,pr16185009,2016-07-03T15:06:37.077Z,"93km NNE of Road Town, British Virgin Islands",earthquake,5.6,9.5,0,6,reviewed,pr,pr
2016-07-03T10:53:20.000Z,19.08,-64.1305,58,2.7,Md,7,327.6,0.80399218,0.21,pr,pr16185008,2016-07-03T13:26:04.928Z,"89km NE of Road Town, British Virgin Islands",earthquake,7.2,9,0,6,reviewed,pr,pr
2016-07-03T10:12:34.200Z,19.1725,-64.1429,44,2.7,Md,8,324,0.87495909,0.15,pr,pr16185005,2016-07-03T10:43:13.296Z,"97km NNE of Road Town, British Virgin Islands",earthquake,4.6,10.9,0,7,reviewed,pr,pr
2016-07-03T09:55:28.200Z,18.9965,-64.1768,77,3,Md,5,327.6,0.71056739,0.07,pr,pr16185007,2016-07-03T13:25:02.341Z,"79km NE of Road Town, British Virgin Islands",earthquake,6.4,5.5,0,4,reviewed,pr,pr
2016-07-03T09:22:16.380Z,-21.0948,-68.8376,119.08,4.7,mb,,66,0.609,0.95,us,us10005zku,2016-07-03T09:41:40.580Z,"152km N of Calama, Chile",earthquake,6.9,7.4,0.088,39,reviewed,us,us
2016-07-03T08:09:06.030Z,37.6202,72.1055,125.69,4.3,mb,,175,0.365,0.58,us,us10005zkb,2016-07-03T08:53:57.693Z,"47km NNE of Roshtqal'a, Tajikistan",earthquake,6,5.1,0.142,14,reviewed,us,us
2016-07-03T07:10:16.900Z,18.756,-68.1502,76,3.2,Md,10,158.4,1.02497774,0.63,pr,pr16185006,2016-07-03T13:23:59.911Z,"33km NE of Punta Cana, Dominican Republic",earthquake,5,5.4,0,7,reviewed,pr,pr
2016-07-03T04:39:05.000Z,61.1366,-153.0448,35,2.7,ml,,,,0.96,ak,ak13735876,2016-07-03T05:13:33.614Z,"74km NNW of Redoubt Volcano, Alaska",earthquake,0.5,454.8,,,automatic,ak,ak
2016-07-03T02:16:13.730Z,10.5711,-85.0185,10,5.1,mb,,58,0.48,1.13,us,us10005zjh,2016-07-03T02:35:10.622Z,"12km NNW of Tilaran, Costa Rica",earthquake,4.9,1.8,0.03,361,reviewed,us,us
2016-07-03T01:58:32.410Z,10.6749,-85.155,10,5.3,mb,,51,0.43,1.13,us,us10005zjd,2016-07-03T02:17:34.026Z,"4km E of Fortuna, Costa Rica",earthquake,4.8,1.8,0.025,536,reviewed,us,us
2016-07-03T00:27:28.000Z,59.8455,-152.9346,102.5,3.1,ml,,,,0.6,ak,ak13735751,2016-07-03T00:54:39.493Z,"62km W of Anchor Point, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-07-03T00:16:23.100Z,18.9654,-66.811,52,2.8,Md,11,255.6,0.55426053,0.25,pr,pr16185001,2016-07-03T03:45:13.812Z,"53km N of Hatillo, Puerto Rico",earthquake,1.4,2.7,0,8,reviewed,pr,pr
2016-07-03T00:03:21.100Z,17.8595,-68.6474,47,3.3,Md,18,234,1.15523346,0.3,pr,pr16185000,2016-07-03T03:30:23.019Z,"57km S of Boca de Yuma, Dominican Republic",earthquake,2,7.7,0,12,reviewed,pr,pr
2016-07-02T23:50:14.520Z,-20.7964,-176.3577,166.2,4.9,mb,,45,6.286,1.25,us,us10005zj2,2016-07-03T00:09:02.004Z,"124km WNW of Havelu, Tonga",earthquake,11.5,7.5,0.074,57,reviewed,us,us
2016-07-02T23:29:38.710Z,-7.9063,128.3229,92.01,4.4,mb,,75,5.631,1.36,us,us10005zj0,2016-07-02T23:53:03.689Z,"Kepulauan Barat Daya, Indonesia",earthquake,9.6,8.3,0.117,21,reviewed,us,us
2016-07-02T22:47:06.100Z,19.1082,-66.0998,24,2.8,Md,9,252,0.79500903,0.2,pr,pr16184026,2016-07-02T23:48:57.631Z,"71km N of San Juan, Puerto Rico",earthquake,1.1,16.7,0,7,reviewed,pr,pr
2016-07-02T22:14:22.900Z,41.6578333,-109.9391667,-2.99,3.51,ml,24,74,0.2773,0.28,uu,uu60154777,2016-07-05T17:58:54.195Z,"41km WNW of Green River, Wyoming",earthquake,0.72,9.47,0.16,27,reviewed,uu,uu
